"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","BASE","WLD","FOR","AREA",2000,"1000 ha",4298877.892
"GLOBIOM","BASE","WLD","FOR","AREA",2010,"1000 ha",4275985.13411352
"GLOBIOM","BASE","WLD","FOR","AREA",2020,"1000 ha",4250732.50591213
"GLOBIOM","BASE","WLD","FOR","AREA",2030,"1000 ha",4219630.92730248
"GLOBIOM","BASE","WLD","FOR","AREA",2040,"1000 ha",4185668.68924942
"GLOBIOM","BASE","WLD","FOR","AREA",2050,"1000 ha",4153112.62675272
"GLOBIOM","BASE","ANZ","FOR","AREA",2000,"1000 ha",172903.834
"GLOBIOM","BASE","ANZ","FOR","AREA",2010,"1000 ha",172903.834
"GLOBIOM","BASE","ANZ","FOR","AREA",2020,"1000 ha",172903.834
"GLOBIOM","BASE","ANZ","FOR","AREA",2030,"1000 ha",172903.834
"GLOBIOM","BASE","ANZ","FOR","AREA",2040,"1000 ha",172903.834
"GLOBIOM","BASE","ANZ","FOR","AREA",2050,"1000 ha",172903.834
"GLOBIOM","BASE","USA","FOR","AREA",2000,"1000 ha",330832.52
"GLOBIOM","BASE","USA","FOR","AREA",2010,"1000 ha",330832.52
"GLOBIOM","BASE","USA","FOR","AREA",2020,"1000 ha",330832.52
"GLOBIOM","BASE","USA","FOR","AREA",2030,"1000 ha",330832.52
"GLOBIOM","BASE","USA","FOR","AREA",2040,"1000 ha",330832.52
"GLOBIOM","BASE","USA","FOR","AREA",2050,"1000 ha",330832.52
"GLOBIOM","BASE","SAS","FOR","AREA",2000,"1000 ha",560653.362
"GLOBIOM","BASE","SAS","FOR","AREA",2010,"1000 ha",553370.308766835
"GLOBIOM","BASE","SAS","FOR","AREA",2020,"1000 ha",546488.812989505
"GLOBIOM","BASE","SAS","FOR","AREA",2030,"1000 ha",540343.458896162
"GLOBIOM","BASE","SAS","FOR","AREA",2040,"1000 ha",533694.538782055
"GLOBIOM","BASE","SAS","FOR","AREA",2050,"1000 ha",527000.817129708
"GLOBIOM","BASE","NAM","FOR","AREA",2000,"1000 ha",765226.21
"GLOBIOM","BASE","NAM","FOR","AREA",2010,"1000 ha",765226.21
"GLOBIOM","BASE","NAM","FOR","AREA",2020,"1000 ha",765226.21
"GLOBIOM","BASE","NAM","FOR","AREA",2030,"1000 ha",765226.21
"GLOBIOM","BASE","NAM","FOR","AREA",2040,"1000 ha",765226.21
"GLOBIOM","BASE","NAM","FOR","AREA",2050,"1000 ha",765226.21
"GLOBIOM","BASE","FSU","FOR","AREA",2000,"1000 ha",842866.867
"GLOBIOM","BASE","FSU","FOR","AREA",2010,"1000 ha",842866.867
"GLOBIOM","BASE","FSU","FOR","AREA",2020,"1000 ha",842866.866999998
"GLOBIOM","BASE","FSU","FOR","AREA",2030,"1000 ha",842866.866999999
"GLOBIOM","BASE","FSU","FOR","AREA",2040,"1000 ha",842866.866999999
