"ANYREGION","ITEM_AG","Year","Scen","value"
"AUT","GRS",2000,"FP_SOC",1
"AUT","GRS",2000,"EA_SOC",1
"AUT","GRS",2000,"FP_PTL",1
"AUT","GRS",2000,"EA_PTL",1
"AUT","GRS",2010,"FP_SOC",1
"AUT","GRS",2010,"EA_SOC",1
"AUT","GRS",2010,"FP_PTL",1
"AUT","GRS",2010,"EA_PTL",1
"AUT","GRS",2020,"FP_SOC",1
"AUT","GRS",2020,"EA_SOC",1
"AUT","GRS",2020,"FP_PTL",1
"AUT","GRS",2020,"EA_PTL",1
"AUT","GRS",2030,"FP_SOC",1.00928173097901
"AUT","GRS",2030,"EA_SOC",0.962613767609827
"AUT","GRS",2030,"FP_PTL",1.00000000015041
"AUT","GRS",2030,"EA_PTL",1.00001174613935
"AUT","GRS",2040,"FP_SOC",1.00941059792427
"AUT","GRS",2040,"EA_SOC",0.927770712472598
"AUT","GRS",2040,"FP_PTL",1.00000000028734
"AUT","GRS",2040,"EA_PTL",1.00000971119304
"AUT","GRS",2050,"FP_SOC",1.00892701163088
"AUT","GRS",2050,"EA_SOC",0.918417215162937
"AUT","GRS",2050,"FP_PTL",1.00000000024969
"AUT","GRS",2050,"EA_PTL",1.00000809913059
"AUT","CRP",2000,"FP_SOC",1
"AUT","CRP",2000,"EA_SOC",1
"AUT","CRP",2000,"FP_PTL",1
"AUT","CRP",2000,"EA_PTL",1
"AUT","CRP",2010,"FP_SOC",1
"AUT","CRP",2010,"EA_SOC",1
"AUT","CRP",2010,"FP_PTL",1
"AUT","CRP",2010,"EA_PTL",1
"AUT","CRP",2020,"FP_SOC",1
"AUT","CRP",2020,"EA_SOC",1
"AUT","CRP",2020,"FP_PTL",1
"AUT","CRP",2020,"EA_PTL",1
"AUT","CRP",2030,"FP_SOC",1.01398872512784
"AUT","CRP",2030,"EA_SOC",1.00609478202834
"AUT","CRP",2030,"FP_PTL",0.999958163649372
"AUT","CRP",2030,"EA_PTL",1.00066059166629
"AUT","CRP",2040,"FP_SOC",1.01657201668847
"AUT","CRP",2040,"EA_SOC",1.00736605284305
"AUT","CRP",2040,"FP_PTL",0.999937657719225
"AUT","CRP",2040,"EA_PTL",1.00097855981309
"AUT","CRP",2050,"FP_SOC",1.01656987657972
"AUT","CRP",2050,"EA_SOC",1.00283832492514
"AUT","CRP",2050,"FP_PTL",0.999189571184457
"AUT","CRP",2050,"EA_PTL",0.998116625549639
"BEL","GRS",2000,"FP_SOC",1
"BEL","GRS",2000,"EA_SOC",1
"BEL","GRS",2000,"FP_PTL",1
"BEL","GRS",2000,"EA_PTL",1
"BEL","GRS",2010,"FP_SOC",1
"BEL","GRS",2010,"EA_SOC",1
"BEL","GRS",2010,"FP_PTL",1
"BEL","GRS",2010,"EA_PTL",1
"BEL","GRS",2020,"FP_SOC",1
"BEL","GRS",2020,"EA_SOC",1
"BEL","GRS",2020,"FP_PTL",1
"BEL","GRS",2020,"EA_PTL",1
"BEL","GRS",2030,"FP_SOC",1
"BEL","GRS",2030,"EA_SOC",0.983670155879921
"BEL","GRS",2030,"FP_PTL",1
"BEL","GRS",2030,"EA_PTL",1.00015094808178
"BEL","GRS",2040,"FP_SOC",0.999507050986269
"BEL","GRS",2040,"EA_SOC",0.972179693844155
"BEL","GRS",2040,"FP_PTL",1.00001075134073
"BEL","GRS",2040,"EA_PTL",0.999831807289622
"BEL","GRS",2050,"FP_SOC",1.00008522767718
"BEL","GRS",2050,"EA_SOC",0.968816743830699
"BEL","GRS",2050,"FP_PTL",0.999981988283543
"BEL","GRS",2050,"EA_PTL",0.99961387578102
"BEL","CRP",2000,"FP_SOC",1
"BEL","CRP",2000,"EA_SOC",1
"BEL","CRP",2000,"FP_PTL",1
"BEL","CRP",2000,"EA_PTL",1
"BEL","CRP",2010,"FP_SOC",1
"BEL","CRP",2010,"EA_SOC",1
"BEL","CRP",2010,"FP_PTL",1
"BEL","CRP",2010,"EA_PTL",1
"BEL","CRP",2020,"FP_SOC",1
"BEL","CRP",2020,"EA_SOC",1
"BEL","CRP",2020,"FP_PTL",1
"BEL","CRP",2020,"EA_PTL",1
"BEL","CRP",2030,"FP_SOC",1.02054040180569
"BEL","CRP",2030,"EA_SOC",0.968534032747306
"BEL","CRP",2030,"FP_PTL",1.00078578214785
"BEL","CRP",2030,"EA_PTL",0.998802893017573
"BEL","CRP",2040,"FP_SOC",1.0176898364327
"BEL","CRP",2040,"EA_SOC",0.983481864274825
"BEL","CRP",2040,"FP_PTL",0.99988691850078
"BEL","CRP",2040,"EA_PTL",0.999568485728991
"BEL","CRP",2050,"FP_SOC",1.05503087158099
"BEL","CRP",2050,"EA_SOC",0.939014882270891
"BEL","CRP",2050,"FP_PTL",1.00220587576493
"BEL","CRP",2050,"EA_PTL",1.00220344972086
"BGR","GRS",2020,"FP_SOC",1
"BGR","GRS",2020,"EA_SOC",1
"BGR","GRS",2020,"FP_PTL",1
"BGR","GRS",2020,"EA_PTL",1
"BGR","GRS",2030,"FP_SOC",0.999993566898006
"BGR","GRS",2030,"EA_SOC",0.847106755090761
"BGR","GRS",2030,"FP_PTL",1.00005123021971
"BGR","GRS",2030,"EA_PTL",0.999875231733457
"BGR","GRS",2040,"FP_SOC",1.0000055238823
"BGR","GRS",2040,"EA_SOC",0.746871814037694
"BGR","GRS",2040,"FP_PTL",0.99997841803281
"BGR","GRS",2040,"EA_PTL",1.00100903201582
"BGR","GRS",2050,"FP_SOC",1.00318771826048
"BGR","GRS",2050,"EA_SOC",0.562455957482082
"BGR","GRS",2050,"FP_PTL",0.999977387384707
"BGR","GRS",2050,"EA_PTL",1.0010106039883
"BGR","CRP",2000,"FP_SOC",1
"BGR","CRP",2000,"EA_SOC",1
"BGR","CRP",2000,"FP_PTL",1
"BGR","CRP",2000,"EA_PTL",1
"BGR","CRP",2010,"FP_SOC",1
"BGR","CRP",2010,"EA_SOC",1
"BGR","CRP",2010,"FP_PTL",1
"BGR","CRP",2010,"EA_PTL",1
"BGR","CRP",2020,"FP_SOC",1
"BGR","CRP",2020,"EA_SOC",1
"BGR","CRP",2020,"FP_PTL",1
"BGR","CRP",2020,"EA_PTL",1
"BGR","CRP",2030,"FP_SOC",0.997307657603864
"BGR","CRP",2030,"EA_SOC",0.996891433575478
"BGR","CRP",2030,"FP_PTL",1.00000837825381
"BGR","CRP",2030,"EA_PTL",0.99999777440438
"BGR","CRP",2040,"FP_SOC",1.00002324317174
"BGR","CRP",2040,"EA_SOC",1.00001201894006
"BGR","CRP",2040,"FP_PTL",0.999994631610903
"BGR","CRP",2040,"EA_PTL",0.999997278654936
"BGR","CRP",2050,"FP_SOC",0.999648102421581
"BGR","CRP",2050,"EA_SOC",0.999388310641005
"BGR","CRP",2050,"FP_PTL",1.00003071699083
"BGR","CRP",2050,"EA_PTL",1.00006717191025
"CYP","GRS",2000,"FP_SOC",1
"CYP","GRS",2000,"EA_SOC",1
"CYP","GRS",2000,"FP_PTL",1
"CYP","GRS",2000,"EA_PTL",1
"CYP","GRS",2010,"FP_SOC",1
"CYP","GRS",2010,"EA_SOC",1
"CYP","GRS",2010,"FP_PTL",1
"CYP","GRS",2010,"EA_PTL",1
"CYP","GRS",2020,"FP_SOC",1
"CYP","GRS",2020,"EA_SOC",1
"CYP","GRS",2020,"FP_PTL",1
"CYP","GRS",2020,"EA_PTL",1
"CYP","GRS",2030,"FP_SOC",1
"CYP","GRS",2030,"EA_SOC",0.995854886634229
"CYP","GRS",2030,"FP_PTL",1
"CYP","GRS",2030,"EA_PTL",1
"CYP","GRS",2040,"FP_SOC",1.00008434237762
"CYP","GRS",2040,"EA_SOC",0.996915865443231
"CYP","GRS",2040,"FP_PTL",1.00000847837121
"CYP","GRS",2040,"EA_PTL",1.00002445824836
"CYP","GRS",2050,"FP_SOC",1.00007673297845
"CYP","GRS",2050,"EA_SOC",0.998184394917245
"CYP","GRS",2050,"FP_PTL",1.00000785752342
"CYP","GRS",2050,"EA_PTL",0.997909052881161
"CYP","CRP",2000,"FP_SOC",1
"CYP","CRP",2000,"EA_SOC",1
"CYP","CRP",2000,"FP_PTL",1
"CYP","CRP",2000,"EA_PTL",1
"CYP","CRP",2010,"FP_SOC",1
"CYP","CRP",2010,"EA_SOC",1
"CYP","CRP",2010,"FP_PTL",1
"CYP","CRP",2010,"EA_PTL",1
"CYP","CRP",2020,"FP_SOC",1
"CYP","CRP",2020,"EA_SOC",1
"CYP","CRP",2020,"FP_PTL",1
"CYP","CRP",2020,"EA_PTL",1
"CYP","CRP",2030,"FP_SOC",1.0011757768906
"CYP","CRP",2030,"EA_SOC",1.00089079095248
"CYP","CRP",2030,"FP_PTL",1
"CYP","CRP",2030,"EA_PTL",1
"CYP","CRP",2040,"FP_SOC",1.00128428095972
"CYP","CRP",2040,"EA_SOC",1.00049204617229
"CYP","CRP",2040,"FP_PTL",1
"CYP","CRP",2040,"EA_PTL",1
"CYP","CRP",2050,"FP_SOC",1.0009997286358
"CYP","CRP",2050,"EA_SOC",1.00042882988491
"CYP","CRP",2050,"FP_PTL",1
"CYP","CRP",2050,"EA_PTL",1
"CZE","GRS",2000,"FP_SOC",1
"CZE","GRS",2000,"EA_SOC",1
"CZE","GRS",2000,"FP_PTL",1
"CZE","GRS",2000,"EA_PTL",1
"CZE","GRS",2010,"FP_SOC",1
"CZE","GRS",2010,"EA_SOC",1
"CZE","GRS",2010,"FP_PTL",1
"CZE","GRS",2010,"EA_PTL",1
"CZE","GRS",2020,"FP_SOC",1
"CZE","GRS",2020,"EA_SOC",1
"CZE","GRS",2020,"FP_PTL",1
"CZE","GRS",2020,"EA_PTL",1
"CZE","GRS",2030,"FP_SOC",1.0290795879613
"CZE","GRS",2030,"EA_SOC",0.943675775399836
"CZE","GRS",2030,"FP_PTL",1
"CZE","GRS",2030,"EA_PTL",1
"CZE","GRS",2040,"FP_SOC",1.06360844009766
"CZE","GRS",2040,"EA_SOC",0.976257862886687
"CZE","GRS",2040,"FP_PTL",1.00000246417135
"CZE","GRS",2040,"EA_PTL",0.999941482061763
"CZE","GRS",2050,"FP_SOC",1.03767096823252
"CZE","GRS",2050,"EA_SOC",0.962177179012986
"CZE","GRS",2050,"FP_PTL",0.999995279424078
"CZE","GRS",2050,"EA_PTL",1.00000292243983
"CZE","CRP",2000,"FP_SOC",1
"CZE","CRP",2000,"EA_SOC",1
"CZE","CRP",2000,"FP_PTL",1
"CZE","CRP",2000,"EA_PTL",1
"CZE","CRP",2010,"FP_SOC",1
"CZE","CRP",2010,"EA_SOC",1
"CZE","CRP",2010,"FP_PTL",1
"CZE","CRP",2010,"EA_PTL",1
"CZE","CRP",2020,"FP_SOC",1
"CZE","CRP",2020,"EA_SOC",1
"CZE","CRP",2020,"FP_PTL",1
"CZE","CRP",2020,"EA_PTL",1
"CZE","CRP",2030,"FP_SOC",1.00696583474955
"CZE","CRP",2030,"EA_SOC",1.01402063251199
"CZE","CRP",2030,"FP_PTL",0.999889425411916
"CZE","CRP",2030,"EA_PTL",1.00076509623518
"CZE","CRP",2040,"FP_SOC",1.00227723167215
"CZE","CRP",2040,"EA_SOC",1.0226740963341
"CZE","CRP",2040,"FP_PTL",0.999998851627915
"CZE","CRP",2040,"EA_PTL",0.999931508817039
"CZE","CRP",2050,"FP_SOC",1.00343213725641
"CZE","CRP",2050,"EA_SOC",1.00080516535213
"CZE","CRP",2050,"FP_PTL",1.00027283111169
"CZE","CRP",2050,"EA_PTL",0.999690593274833
"DEU","GRS",2000,"FP_SOC",1
"DEU","GRS",2000,"EA_SOC",1
"DEU","GRS",2000,"FP_PTL",1
"DEU","GRS",2000,"EA_PTL",1
"DEU","GRS",2010,"FP_SOC",1
"DEU","GRS",2010,"EA_SOC",1
"DEU","GRS",2010,"FP_PTL",1
"DEU","GRS",2010,"EA_PTL",1
"DEU","GRS",2020,"FP_SOC",1
"DEU","GRS",2020,"EA_SOC",1
"DEU","GRS",2020,"FP_PTL",1
"DEU","GRS",2020,"EA_PTL",1
"DEU","GRS",2030,"FP_SOC",0.999592943046731
"DEU","GRS",2030,"EA_SOC",1.01954969493857
"DEU","GRS",2030,"FP_PTL",0.999995252374575
"DEU","GRS",2030,"EA_PTL",1.03113409393108
"DEU","GRS",2040,"FP_SOC",0.998378893354787
"DEU","GRS",2040,"EA_SOC",0.979874101610587
"DEU","GRS",2040,"FP_PTL",0.999869556645151
"DEU","GRS",2040,"EA_PTL",1.07400890072623
"DEU","GRS",2050,"FP_SOC",0.998691231114653
"DEU","GRS",2050,"EA_SOC",0.968282440135675
"DEU","GRS",2050,"FP_PTL",0.999501128599754
"DEU","GRS",2050,"EA_PTL",1.10978388048366
"DEU","CRP",2000,"FP_SOC",1
"DEU","CRP",2000,"EA_SOC",1
"DEU","CRP",2000,"FP_PTL",1
"DEU","CRP",2000,"EA_PTL",1
"DEU","CRP",2010,"FP_SOC",1
"DEU","CRP",2010,"EA_SOC",1
"DEU","CRP",2010,"FP_PTL",1
"DEU","CRP",2010,"EA_PTL",1
"DEU","CRP",2020,"FP_SOC",1
"DEU","CRP",2020,"EA_SOC",1
"DEU","CRP",2020,"FP_PTL",1
"DEU","CRP",2020,"EA_PTL",1
