ANYREGION,SCEN3,Year,Value
BEL,BASE,2020,0.0725
BGR,BASE,2020,0.023
CZE,BASE,2020,0.1533
DNK,BASE,2020,0.1145
DEU,BASE,2020,0.0959
EST,BASE,2020,0.2241
IRL,BASE,2020,0.0166
GRC,BASE,2020,0.1015
ESP,BASE,2020,0.0998
FRA,BASE,2020,0.0877
HRV,BASE,2020,0.0721
ITA,BASE,2020,0.1596
CYP,BASE,2020,0.0463
LVA,BASE,2020,0.1479
LTU,BASE,2020,0.08
LUX,BASE,2020,0.0463
HUN,BASE,2020,0.0603
MLT,BASE,2020,0.0062
NLD,BASE,2020,0.0395
AUT,BASE,2020,0.2569
POL,BASE,2020,0.0345
PRT,BASE,2020,0.0805
ROU,BASE,2020,0.0359
SVN,BASE,2020,0.1029
SVK,BASE,2020,0.1167
FIN,BASE,2020,0.1393
SWE,BASE,2020,0.2031
BEL,FP,2020,0.0725
BGR,FP,2020,0.023
CZE,FP,2020,0.1533
DNK,FP,2020,0.1145
DEU,FP,2020,0.0959
EST,FP,2020,0.2241
IRL,FP,2020,0.0166
GRC,FP,2020,0.1015
ESP,FP,2020,0.0998
FRA,FP,2020,0.0877
HRV,FP,2020,0.0721
ITA,FP,2020,0.1596
CYP,FP,2020,0.0463
LVA,FP,2020,0.1479
LTU,FP,2020,0.08
LUX,FP,2020,0.0463
HUN,FP,2020,0.0603
MLT,FP,2020,0.0062
NLD,FP,2020,0.0395
AUT,FP,2020,0.2569
POL,FP,2020,0.0345
PRT,FP,2020,0.0805
ROU,FP,2020,0.0359
SVN,FP,2020,0.1029
SVK,FP,2020,0.1167
FIN,FP,2020,0.1393
SWE,FP,2020,0.2031
BEL,EA,2020,0.0725
BGR,EA,2020,0.023
CZE,EA,2020,0.1533
DNK,EA,2020,0.1145
DEU,EA,2020,0.0959
EST,EA,2020,0.2241
IRL,EA,2020,0.0166
GRC,EA,2020,0.1015
ESP,EA,2020,0.0998
FRA,EA,2020,0.0877
HRV,EA,2020,0.0721
ITA,EA,2020,0.1596
CYP,EA,2020,0.0463
LVA,EA,2020,0.1479
LTU,EA,2020,0.08
LUX,EA,2020,0.0463
HUN,EA,2020,0.0603
MLT,EA,2020,0.0062
NLD,EA,2020,0.0395
AUT,EA,2020,0.2569
POL,EA,2020,0.0345
PRT,EA,2020,0.0805
ROU,EA,2020,0.0359
SVN,EA,2020,0.1029
SVK,EA,2020,0.1167
FIN,EA,2020,0.1393
SWE,EA,2020,0.2031
BEL,FP,2030,0.098281481
BGR,FP,2030,0.048659167
