"ANYSCEN","ALLYEAR","ANYREGION","ITEM","Value","VARIABLE","UNIT"
"base",2030,"AUT","CRP",2.183448381,"AREA","1000 ha"
"base",2030,"AUT","GRS",0.26817726,"AREA","1000 ha"
"base",2030,"AUT","TOT",2.451625641,"AREA","1000 ha"
"base",2030,"BGR","CRP",5.28041055,"AREA","1000 ha"
"base",2030,"BGR","GRS",0.42118425,"AREA","1000 ha"
"base",2030,"BGR","TOT",5.7015948,"AREA","1000 ha"
"base",2030,"HRV","CRP",1.71999195,"AREA","1000 ha"
"base",2030,"HRV","GRS",0.18478615,"AREA","1000 ha"
"base",2030,"HRV","TOT",1.9047781,"AREA","1000 ha"
"base",2030,"CYP","CRP",0,"AREA","1000 ha"
"base",2030,"CYP","GRS",0.005542305,"AREA","1000 ha"
"base",2030,"CYP","TOT",0.005542305,"AREA","1000 ha"
"base",2030,"CZE","CRP",8.10370705,"AREA","1000 ha"
"base",2030,"CZE","GRS",0.50143565,"AREA","1000 ha"
"base",2030,"CZE","TOT",8.6051427,"AREA","1000 ha"
"base",2030,"DNK","CRP",3.054383543,"AREA","1000 ha"
"base",2030,"DNK","GRS",0.496769234,"AREA","1000 ha"
"base",2030,"DNK","TOT",3.551152777,"AREA","1000 ha"
"base",2030,"EST","CRP",0.41633515,"AREA","1000 ha"
"base",2030,"EST","GRS",0.16790265,"AREA","1000 ha"
"base",2030,"EST","TOT",0.5842378,"AREA","1000 ha"
"base",2030,"FIN","CRP",0.100720631,"AREA","1000 ha"
"base",2030,"FIN","GRS",0.428834845,"AREA","1000 ha"
"base",2030,"FIN","TOT",0.529555476,"AREA","1000 ha"
"base",2030,"FRA","CRP",47.09690287,"AREA","1000 ha"
"base",2030,"FRA","GRS",21.7790212,"AREA","1000 ha"
"base",2030,"FRA","TOT",68.87592407,"AREA","1000 ha"
"base",2030,"DEU","CRP",23.83197793,"AREA","1000 ha"
"base",2030,"DEU","GRS",4.675097157,"AREA","1000 ha"
"base",2030,"DEU","TOT",28.50707509,"AREA","1000 ha"
"base",2030,"HUN","CRP",9.887215,"AREA","1000 ha"
"base",2030,"HUN","GRS",0.4233288,"AREA","1000 ha"
"base",2030,"HUN","TOT",10.3105438,"AREA","1000 ha"
"base",2030,"IRL","CRP",0.063268386,"AREA","1000 ha"
"base",2030,"IRL","GRS",3.814428669,"AREA","1000 ha"
"base",2030,"IRL","TOT",3.877697055,"AREA","1000 ha"
"base",2030,"ITA","CRP",4.183641341,"AREA","1000 ha"
"base",2030,"ITA","GRS",0.767446692,"AREA","1000 ha"
"base",2030,"ITA","TOT",4.951088033,"AREA","1000 ha"
"base",2030,"LVA","CRP",1.1761834,"AREA","1000 ha"
"base",2030,"LVA","GRS",0.2757725,"AREA","1000 ha"
"base",2030,"LVA","TOT",1.4519559,"AREA","1000 ha"
"base",2030,"LTU","CRP",3.82109785,"AREA","1000 ha"
"base",2030,"LTU","GRS",0.53422415,"AREA","1000 ha"
"base",2030,"LTU","TOT",4.355322,"AREA","1000 ha"
"base",2030,"MLT","CRP",0,"AREA","1000 ha"
"base",2030,"MLT","GRS",0,"AREA","1000 ha"
"base",2030,"MLT","TOT",0,"AREA","1000 ha"
"base",2030,"NLD","CRP",0.50946146,"AREA","1000 ha"
"base",2030,"NLD","GRS",1.254633413,"AREA","1000 ha"
"base",2030,"NLD","TOT",1.764094873,"AREA","1000 ha"
"base",2030,"NOR","CRP",0.409148785,"AREA","1000 ha"
"base",2030,"NOR","GRS",0.072459354,"AREA","1000 ha"
"base",2030,"NOR","TOT",0.481608139,"AREA","1000 ha"
"base",2030,"POL","CRP",35.5056662,"AREA","1000 ha"
"base",2030,"POL","GRS",2.0744344,"AREA","1000 ha"
"base",2030,"POL","TOT",37.5801006,"AREA","1000 ha"
"base",2030,"PRT","CRP",0.169256038,"AREA","1000 ha"
"base",2030,"PRT","GRS",0.50605436,"AREA","1000 ha"
"base",2030,"PRT","TOT",0.675310398,"AREA","1000 ha"
"base",2030,"ROU","CRP",4.41396195,"AREA","1000 ha"
"base",2030,"ROU","GRS",2.16084395,"AREA","1000 ha"
"base",2030,"ROU","TOT",6.5748059,"AREA","1000 ha"
"base",2030,"SVK","CRP",2.4613691,"AREA","1000 ha"
"base",2030,"SVK","GRS",0.3708494,"AREA","1000 ha"
"base",2030,"SVK","TOT",2.8322185,"AREA","1000 ha"
"base",2030,"SVN","CRP",0.2775807,"AREA","1000 ha"
"base",2030,"SVN","GRS",0.0205166,"AREA","1000 ha"
"base",2030,"SVN","TOT",0.2980973,"AREA","1000 ha"
"base",2030,"ESP","CRP",4.724586583,"AREA","1000 ha"
"base",2030,"ESP","GRS",1.739728353,"AREA","1000 ha"
"base",2030,"ESP","TOT",6.464314936,"AREA","1000 ha"
"base",2030,"SWE","CRP",0.9724853,"AREA","1000 ha"
"base",2030,"SWE","GRS",1.468798358,"AREA","1000 ha"
"base",2030,"SWE","TOT",2.441283658,"AREA","1000 ha"
"base",2040,"AUT","CRP",1.862656836,"AREA","1000 ha"
"base",2040,"AUT","GRS",0.239084148,"AREA","1000 ha"
"base",2040,"AUT","TOT",2.101740984,"AREA","1000 ha"
"base",2040,"BGR","CRP",5.17912775,"AREA","1000 ha"
"base",2040,"BGR","GRS",0.39148625,"AREA","1000 ha"
"base",2040,"BGR","TOT",5.570614,"AREA","1000 ha"
"base",2040,"HRV","CRP",1.68827495,"AREA","1000 ha"
"base",2040,"HRV","GRS",0.16729715,"AREA","1000 ha"
"base",2040,"HRV","TOT",1.8555721,"AREA","1000 ha"
"base",2040,"CYP","CRP",0,"AREA","1000 ha"
"base",2040,"CYP","GRS",0.005542305,"AREA","1000 ha"
"base",2040,"CYP","TOT",0.005542305,"AREA","1000 ha"
"base",2040,"CZE","CRP",7.61475995,"AREA","1000 ha"
"base",2040,"CZE","GRS",0.48403365,"AREA","1000 ha"
"base",2040,"CZE","TOT",8.0987936,"AREA","1000 ha"
"base",2040,"DNK","CRP",3.035397499,"AREA","1000 ha"
"base",2040,"DNK","GRS",0.48718608,"AREA","1000 ha"
"base",2040,"DNK","TOT",3.522583579,"AREA","1000 ha"
"base",2040,"EST","CRP",0.31780365,"AREA","1000 ha"
"base",2040,"EST","GRS",0.15719305,"AREA","1000 ha"
"base",2040,"EST","TOT",0.4749967,"AREA","1000 ha"
"base",2040,"FIN","CRP",0.099248905,"AREA","1000 ha"
"base",2040,"FIN","GRS",0.428834845,"AREA","1000 ha"
"base",2040,"FIN","TOT",0.52808375,"AREA","1000 ha"
"base",2040,"FRA","CRP",45.54064009,"AREA","1000 ha"
"base",2040,"FRA","GRS",20.51444833,"AREA","1000 ha"
"base",2040,"FRA","TOT",66.05508842,"AREA","1000 ha"
"base",2040,"DEU","CRP",22.51568878,"AREA","1000 ha"
"base",2040,"DEU","GRS",4.292708769,"AREA","1000 ha"
"base",2040,"DEU","TOT",26.80839755,"AREA","1000 ha"
"base",2040,"HUN","CRP",9.8144451,"AREA","1000 ha"
"base",2040,"HUN","GRS",0.4104458,"AREA","1000 ha"
"base",2040,"HUN","TOT",10.2248909,"AREA","1000 ha"
"base",2040,"IRL","CRP",0.063268386,"AREA","1000 ha"
"base",2040,"IRL","GRS",3.812645781,"AREA","1000 ha"
"base",2040,"IRL","TOT",3.875914167,"AREA","1000 ha"
"base",2040,"ITA","CRP",2.985477219,"AREA","1000 ha"
"base",2040,"ITA","GRS",0.716381913,"AREA","1000 ha"
"base",2040,"ITA","TOT",3.701859132,"AREA","1000 ha"
"base",2040,"LVA","CRP",0.9600836,"AREA","1000 ha"
"base",2040,"LVA","GRS",0.2549353,"AREA","1000 ha"
"base",2040,"LVA","TOT",1.2150189,"AREA","1000 ha"
"base",2040,"LTU","CRP",3.49791855,"AREA","1000 ha"
"base",2040,"LTU","GRS",0.52153515,"AREA","1000 ha"
"base",2040,"LTU","TOT",4.0194537,"AREA","1000 ha"
"base",2040,"MLT","CRP",0,"AREA","1000 ha"
"base",2040,"MLT","GRS",0,"AREA","1000 ha"
"base",2040,"MLT","TOT",0,"AREA","1000 ha"
"base",2040,"NLD","CRP",0.46089921,"AREA","1000 ha"
"base",2040,"NLD","GRS",1.235549501,"AREA","1000 ha"
"base",2040,"NLD","TOT",1.696448711,"AREA","1000 ha"
"base",2040,"NOR","CRP",0.403310679,"AREA","1000 ha"
"base",2040,"NOR","GRS",0.072351209,"AREA","1000 ha"
"base",2040,"NOR","TOT",0.475661888,"AREA","1000 ha"
"base",2040,"POL","CRP",32.4694719,"AREA","1000 ha"
"base",2040,"POL","GRS",1.813705,"AREA","1000 ha"
"base",2040,"POL","TOT",34.2831769,"AREA","1000 ha"
"base",2040,"PRT","CRP",0.166408529,"AREA","1000 ha"
"base",2040,"PRT","GRS",0.492332959,"AREA","1000 ha"
"base",2040,"PRT","TOT",0.658741488,"AREA","1000 ha"
"base",2040,"ROU","CRP",4.35180865,"AREA","1000 ha"
"base",2040,"ROU","GRS",2.05408695,"AREA","1000 ha"
"base",2040,"ROU","TOT",6.4058956,"AREA","1000 ha"
"base",2040,"SVK","CRP",2.4248882,"AREA","1000 ha"
"base",2040,"SVK","GRS",0.3633534,"AREA","1000 ha"
"base",2040,"SVK","TOT",2.7882416,"AREA","1000 ha"
"base",2040,"SVN","CRP",0.2730497,"AREA","1000 ha"
"base",2040,"SVN","GRS",0.0166716,"AREA","1000 ha"
"base",2040,"SVN","TOT",0.2897213,"AREA","1000 ha"
"base",2040,"ESP","CRP",3.866228537,"AREA","1000 ha"
"base",2040,"ESP","GRS",1.593211984,"AREA","1000 ha"
"base",2040,"ESP","TOT",5.459440521,"AREA","1000 ha"
"base",2040,"SWE","CRP",0.969541848,"AREA","1000 ha"
"base",2040,"SWE","GRS",1.465375803,"AREA","1000 ha"
"base",2040,"SWE","TOT",2.434917651,"AREA","1000 ha"
"base",2050,"AUT","CRP",1.437472236,"AREA","1000 ha"
"base",2050,"AUT","GRS",0.235518372,"AREA","1000 ha"
"base",2050,"AUT","TOT",1.672990608,"AREA","1000 ha"
"base",2050,"BGR","CRP",5.1589757,"AREA","1000 ha"
"base",2050,"BGR","GRS",0.3704848,"AREA","1000 ha"
"base",2050,"BGR","TOT",5.5294605,"AREA","1000 ha"
"base",2050,"HRV","CRP",1.68795065,"AREA","1000 ha"
"base",2050,"HRV","GRS",0.16095515,"AREA","1000 ha"
"base",2050,"HRV","TOT",1.8489058,"AREA","1000 ha"
"base",2050,"CYP","CRP",0,"AREA","1000 ha"
"base",2050,"CYP","GRS",0.005542305,"AREA","1000 ha"
"base",2050,"CYP","TOT",0.005542305,"AREA","1000 ha"
"base",2050,"CZE","CRP",7.43950265,"AREA","1000 ha"
"base",2050,"CZE","GRS",0.46234325,"AREA","1000 ha"
"base",2050,"CZE","TOT",7.9018459,"AREA","1000 ha"
"base",2050,"DNK","CRP",2.890892176,"AREA","1000 ha"
"base",2050,"DNK","GRS",0.48718608,"AREA","1000 ha"
"base",2050,"DNK","TOT",3.378078256,"AREA","1000 ha"
"base",2050,"EST","CRP",0.28426675,"AREA","1000 ha"
"base",2050,"EST","GRS",0.14327195,"AREA","1000 ha"
"base",2050,"EST","TOT",0.4275387,"AREA","1000 ha"
"base",2050,"FIN","CRP",0.097777179,"AREA","1000 ha"
"base",2050,"FIN","GRS",0.428834845,"AREA","1000 ha"
"base",2050,"FIN","TOT",0.526612024,"AREA","1000 ha"
"base",2050,"FRA","CRP",42.89470067,"AREA","1000 ha"
"base",2050,"FRA","GRS",20.27571226,"AREA","1000 ha"
"base",2050,"FRA","TOT",63.17041292,"AREA","1000 ha"
"base",2050,"DEU","CRP",19.95067592,"AREA","1000 ha"
"base",2050,"DEU","GRS",4.114136517,"AREA","1000 ha"
"base",2050,"DEU","TOT",24.06481244,"AREA","1000 ha"
"base",2050,"HUN","CRP",9.7789567,"AREA","1000 ha"
"base",2050,"HUN","GRS",0.3769898,"AREA","1000 ha"
"base",2050,"HUN","TOT",10.1559465,"AREA","1000 ha"
"base",2050,"IRL","CRP",0.050694806,"AREA","1000 ha"
"base",2050,"IRL","GRS",3.812645781,"AREA","1000 ha"
"base",2050,"IRL","TOT",3.863340587,"AREA","1000 ha"
"base",2050,"ITA","CRP",2.16576823,"AREA","1000 ha"
"base",2050,"ITA","GRS",0.698646537,"AREA","1000 ha"
"base",2050,"ITA","TOT",2.864414767,"AREA","1000 ha"
"base",2050,"LVA","CRP",0.8903021,"AREA","1000 ha"
"base",2050,"LVA","GRS",0.2301817,"AREA","1000 ha"
"base",2050,"LVA","TOT",1.1204838,"AREA","1000 ha"
"base",2050,"LTU","CRP",3.38181105,"AREA","1000 ha"
"base",2050,"LTU","GRS",0.47935495,"AREA","1000 ha"
"base",2050,"LTU","TOT",3.861166,"AREA","1000 ha"
"base",2050,"MLT","CRP",0,"AREA","1000 ha"
"base",2050,"MLT","GRS",0,"AREA","1000 ha"
"base",2050,"MLT","TOT",0,"AREA","1000 ha"
"base",2050,"NLD","CRP",0.400109794,"AREA","1000 ha"
"base",2050,"NLD","GRS",1.152434205,"AREA","1000 ha"
"base",2050,"NLD","TOT",1.552543999,"AREA","1000 ha"
"base",2050,"NOR","CRP",0.397472573,"AREA","1000 ha"
"base",2050,"NOR","GRS",0.072351209,"AREA","1000 ha"
"base",2050,"NOR","TOT",0.469823782,"AREA","1000 ha"
"base",2050,"POL","CRP",31.8011984,"AREA","1000 ha"
"base",2050,"POL","GRS",1.427251,"AREA","1000 ha"
"base",2050,"POL","TOT",33.2284494,"AREA","1000 ha"
"base",2050,"PRT","CRP",0.16356102,"AREA","1000 ha"
"base",2050,"PRT","GRS",0.487985189,"AREA","1000 ha"
"base",2050,"PRT","TOT",0.651546209,"AREA","1000 ha"
"base",2050,"ROU","CRP",4.33878025,"AREA","1000 ha"
"base",2050,"ROU","GRS",1.94761595,"AREA","1000 ha"
"base",2050,"ROU","TOT",6.2863962,"AREA","1000 ha"
"base",2050,"SVK","CRP",2.3992488,"AREA","1000 ha"
"base",2050,"SVK","GRS",0.3542234,"AREA","1000 ha"
"base",2050,"SVK","TOT",2.7534722,"AREA","1000 ha"
"base",2050,"SVN","CRP",0.2730497,"AREA","1000 ha"
"base",2050,"SVN","GRS",0.0118666,"AREA","1000 ha"
"base",2050,"SVN","TOT",0.2849163,"AREA","1000 ha"
"base",2050,"ESP","CRP",2.471823204,"AREA","1000 ha"
"base",2050,"ESP","GRS",1.57573483,"AREA","1000 ha"
