country,ALLITEM,COST,Type,value
Austria,Barl,Fuel,Cropland,0.0357546465151005
Austria,Barl,K,Cropland,0.010859944370860358
Austria,Barl,Labor,Cropland,0.030487548032236363
Austria,Barl,Machinery,Cropland,0.27179997222708663
Austria,Barl,N,Cropland,0.031607300780862234
Austria,Barl,P,Cropland,0.009919829783532147
Austria,Barl,Plant Protection,Cropland,0.008094923205082396
Austria,BeaD,Fuel,Cropland,0.0718455179171549
Austria,BeaD,K,Cropland,0.0043841321222022915
Austria,BeaD,Labor,Cropland,0.020134334422862575
Austria,BeaD,Machinery,Cropland,0.2378621002887687
Austria,BeaD,N,Cropland,0.012759787519842488
Austria,BeaD,P,Cropland,0.00400461023699672
Austria,BeaD,Plant Protection,Cropland,0.009244052872213037
Austria,Cass,Fuel,Cropland,0.1318903623629269
Austria,Cass,K,Cropland,0.025730027403412677
Austria,Cass,Labor,Cropland,0.09458644431610452
Austria,Cass,Machinery,Cropland,2.0467394380312256
Austria,Cass,N,Cropland,0.07488590065172346
Austria,Cass,P,Cropland,0.02350265189684859
Austria,Cass,Plant Protection,Cropland,0.2717373425492901
Austria,ChkP,Fuel,Cropland,0.0718455179171549
Austria,ChkP,K,Cropland,0.0043841321222022915
Austria,ChkP,Labor,Cropland,0.020134334422862575
Austria,ChkP,Machinery,Cropland,0.2378621002887687
Austria,ChkP,N,Cropland,0.012759787519842488
Austria,ChkP,P,Cropland,0.00400461023699672
Austria,ChkP,Plant Protection,Cropland,0.009244052872213037
Austria,Corn,Fuel,Cropland,0.05072895489504854
Austria,Corn,K,Cropland,0.023685530149237227
Austria,Corn,Labor,Cropland,0.06267894751173826
Austria,Corn,Machinery,Cropland,0.36317857536718806
Austria,Corn,N,Cropland,0.06893549819554118
Austria,Corn,P,Cropland,0.021635140972139078
Austria,Corn,Plant Protection,Cropland,0.007955887425841902
Austria,Gnut,Fuel,Cropland,0.0718455179171549
Austria,Gnut,K,Cropland,0.0043841321222022915
Austria,Gnut,Labor,Cropland,0.020134334422862575
Austria,Gnut,Machinery,Cropland,0.2378621002887687
Austria,Gnut,N,Cropland,0.012759787519842488
Austria,Gnut,P,Cropland,0.00400461023699672
Austria,Gnut,Plant Protection,Cropland,0.009244052872213037
